query_id,variant,bertscore_p,bertscore_r,bertscore_f1,num_retrieved_chunk_ids,num_citations,citation_valid,topic,difficulty,model_name,context_relevance,answer_relevance,faithfulness,context_precision,context_recall
Q001,V1,0.641209602355957,0.6640106439590454,0.6524109840393066,3,2,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q001,V2,0.641209602355957,0.6640106439590454,0.6524109840393066,3,2,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q001,V3,0.6566265821456909,0.6415491700172424,0.6490002870559692,3,3,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q002,V1,0.710036039352417,0.697242021560669,0.7035808563232422,3,3,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q002,V2,0.710036039352417,0.697242021560669,0.7035808563232422,3,3,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q002,V3,0.6582726240158081,0.6646847724914551,0.6614631414413452,3,3,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q003,V1,0.6462845802307129,0.7082136869430542,0.6758334040641785,3,2,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q003,V2,0.6462845802307129,0.7082136869430542,0.6758334040641785,3,2,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q003,V3,0.7352995276451111,0.6738663911819458,0.7032439112663269,3,3,True,authentication_and_identity,basic,Gemma-2-2B-IT,,,,,
Q004,V1,0.5794563889503479,0.5159807205200195,0.5458794832229614,3,3,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
Q004,V2,0.5794563889503479,0.5159807205200195,0.5458794832229614,3,3,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
Q004,V3,0.6040565371513367,0.5809091329574585,0.5922567844390869,3,3,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
Q005,V1,0.4948658645153045,0.5616769790649414,0.5261589884757996,3,3,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
Q005,V2,0.4948658645153045,0.5616769790649414,0.5261589884757996,3,3,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
Q005,V3,0.5627681612968445,0.5571861267089844,0.5599632263183594,3,2,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
Q006,V1,0.6247408390045166,0.6170163750648499,0.6208546161651611,3,3,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
Q006,V2,0.6247408390045166,0.6170163750648499,0.6208546161651611,3,3,True,authentication_and_identity,intermediate,Gemma-2-2B-IT,,,,,
